Barki,Gulshan colony,37 min,10
Barki,askari 10,27 min,13.8
Barki,saddar,36 min,17.4
Barki,sherpo bridge,35 min,19.7
Barki,new campus,48 min,29.1
Barki,defence mor,31 min,18.0
Barki,ghazi road,30 min,10
Barki,bhatta chowk,1 hr 5 min,53.7
Barki,ra bazar,36 min,19.3
Barki,firdus market,38 min,21.5
Barki,shah tajj market,33 min,18.7
Barki,walton station,33 min,18.7
Barki,kalma chowk,44 min,25.3
Barki,garden town,41 min,24.3
Barki,shiekh welfare hospital,14 hr 27 min,24.3
Barki,imamia colony,57 min,38.9
Barki,ravi pull,48 min,35.0
Barki,bhatti gate,46 min,35.5
Barki,old campus,48 min,25.3
Barki,shahdra station,47 min,35.1
Barki,shahdara chowk,49 min,35.3
Barki,kot abdul malik toll plaza,1 hr 3 min,43.4
Barki,baghm kot,51 min,36.7
Barki,basi mor,36 min,23.6
Barki,shalimar,37 min,18.3
Barki,mughal pura,39 min,22.6
Barki,Dhrampora,39 min,22.6
Barki,Jailroad Pull,39 min,22.3
Barki,Golbagh,44 min,31.2
Barki,Taj pura,46 min,31.7
Barki,Chmra Mandi,46 min,27.2
Barki,Misri shah,44 min,31.8
Barki,Duece road,43 min,23.1
Barki,China Chownk,39 min,26.9
Barki,Shadman,41 min,23.8
Barki,Service hospital,52 min,29.1
Barki,Nadeem chownk,35 min,19.4
Barki,GPO,47 min,24.8
Barki,UET,42 min,25.1
Barki,Simla phari,43 min,22.9
Barki,Engneering University,47 min,38.7
Barki,Green Town,51 min,27.3
Barki,Sadiq Chownk,51 min,10
Barki,Barkat chownk,51 min,26.9
Barki,Town ship,48 min,28.8
Barki,Model Town,44 min,25.9
Barki,General Hospital,40 min,19.5
Barki,Muslim Town,42 min,24.0
Barki,Multan Chungi,53 min,31.8
Barki,Smanabad,49 min,27.5
Barki,Chuburji,47 min,27.0
Barki,MOA College,50 min,26.1
Barki,Sherakot,54 min,40.7
Barki,Liaqat chownk,56 min,30.7
Barki,Phela gol chakr samanbad,32 min,15.5
Barki,masjid kizra,47 min,26.3
Barki,gulashan ravi,53 min,39.9
Barki,yeteeem khana,54 min,30.1
Barki,awaan town,57 min,31.7
Barki,dubai chownk,49 min,27.9
Barki,asif block,48 min,27.9
Barki,abu bkr chownk,51 min,26.9
Barki,usman chownk,47 min,31.1
Barki,Butt chownk,53 min,30.4
Barki,Faisal Town,46 min,27.6
Barki,Chungi amrsandu,40 min,19.7
Barki,Ywanaabad,35 min,26.6
Barki,kala shah kaku,49 min,42.3
Barki,wahdatroad,42 min,25.5
Barki,Ichraaa,46 min,26.6
Barki,Jnazgah,46 min,26.6
Barki,allama iqbal town,53 min,30.4
Barki,dubai chownk,49 min,27.9
Gulshan colony,askari 10,29 min,15.9
Gulshan colony,saddar,22 min,13.4
